"Autor","Nome do Módulo","Nome Técnico","Site","Situação","Última Versão"
"Odoo S.A.","Vendas","sale_management","https://www.odoo.com/app/sales","Instalado","16.0.1.0"
"Odoo S.A.","Faturação","account","https://www.odoo.com/app/invoicing","Instalado","16.0.1.2"
"Odoo S.A.","Inventário","stock","https://www.odoo.com/app/inventory","Instalado","16.0.1.1"
"Odoo S.A.","Compras","purchase","https://www.odoo.com/app/purchase","Instalado","16.0.1.2"
"Odoo S.A.","Projeto","project","https://www.odoo.com/app/project","Instalado","16.0.1.3"
"Odoo S.A.","Manufacturing","mrp","https://www.odoo.com/app/manufacturing","Instalado","16.0.2.0"
"Odoo S.A.","Despesas","hr_expense","https://www.odoo.com/app/expenses","Instalado","16.0.2.0"
"Odoo S.A.","Funcionários","hr","https://www.odoo.com/app/employees","Instalado","16.0.1.1"
"Camptocamp,initOS GmbH,redCOR AG,ForgeFlow,Tecnativa,Odoo Community Association (OCA)","Account Financial Reports","account_financial_report","https://github.com/OCA/account-financial-reporting","Instalado","16.0.1.18.0"
"Akretion, Odoo Community Association (OCA)","Módulo fiscal brasileiro","l10n_br_fiscal","https://github.com/OCA/l10n-brazil","Instalado","16.0.22.3.1"
"ACSONE SA/NV, Odoo Community Association (OCA)","MIS Builder","mis_builder","https://github.com/OCA/mis-builder","Instalado","16.0.5.8.0"
"ForgeFlow, Odoo Community Association (OCA)","Purchase Request","purchase_request","https://github.com/OCA/purchase-workflow","Instalado","16.0.2.4.3"
"TAKOBI, Tecnativa, Odoo Community Association (OCA)","Progressive web application","web_pwa_oca","https://github.com/OCA/web","Instalado","16.0.1.0.0"
"Odoo S.A.","Discussões","mail","https://www.odoo.com/app/discuss","Instalado","16.0.1.10"
"Odoo S.A.","Contactos","contacts","","Instalado","16.0.1.0"
"Odoo S.A.","Frota","fleet","https://www.odoo.com/app/fleet","Instalado","16.0.0.1"
"Odoo S.A.","Contratos de funcionários","hr_contract","https://www.odoo.com/app/employees","Instalado","16.0.1.0"
"LasLabs, Tecnativa, ITerra, Onestein, Odoo Community Association (OCA)","Web Responsive","web_responsive","https://github.com/OCA/web","Instalado","16.0.1.4.0"
"Odoo S.A.","WMS Contabilidade","stock_account","","Instalado","16.0.1.1"
"Odoo S.A.","Moradas Estendidas","base_address_extended","","Instalado","16.0.1.1"
"Odoo S.A.","Logs de Tarefas","hr_timesheet","https://www.odoo.com/app/timesheet","Instalado","16.0.1.0"
"Odoo S.A.","Purchase Stock","purchase_stock","","Instalado","16.0.1.2"
"Odoo S.A.","Compra Requisição Estoque","purchase_requisition_stock","","Instalado","16.0.1.2"
"ForgeFlow, Onestein, CorporateHub, Odoo Community Association (OCA)","HR Timesheet Sheet","hr_timesheet_sheet","https://github.com/OCA/timesheet","Instalado","16.0.1.2.0"
"Akretion, Odoo Community Association (OCA)","Account Analytic Required","account_analytic_required","https://github.com/OCA/account-analytic","Instalado","16.0.2.0.1"
"Tecnativa, Odoo Community Association (OCA)","Account Analytic Tag","account_analytic_tag","https://github.com/OCA/account-analytic","Instalado","16.0.1.1.2"
"Odoo Community Association (OCA)","Payments Due list","account_due_list","https://github.com/OCA/account-payment","Instalado","16.0.1.2.1"
"Obertix Free Solutions, Tecnativa, Odoo Community Association (OCA),","Payment Due List Payment Mode","account_due_list_payment_mode","https://github.com/OCA/account-payment","Instalado","16.0.1.0.0"
"Odoo S.A.","Importar/Exportar faturas a partir de XML/PDF","account_edi","","Instalado","16.0.1.0"
"Odoo S.A.","Import/Export electronic invoices with UBL/CII","account_edi_ubl_cii","","Instalado","16.0.1.0"
"Odoo S.A.","Ponte de contabilidade/frota","account_fleet","","Instalado","16.0.1.0"
"ACSONE SA/NV, Odoo Community Association (OCA)","Account Lock Date Update","account_lock_date_update","https://github.com/OCA/account-financial-tools","Instalado","16.0.1.0.1"
"ForgeFlow, Odoo Community Association (OCA)","Account Lock To Date","account_lock_to_date","https://github.com/OCA/account-financial-tools","Instalado","16.0.1.0.0"
"Akretion","Account Move Import","account_move_csv_import","http://www.akretion.com","Instalado","16.0.1.0.0"
"Escodoo","Account Move Line Cash Basis Report","account_move_line_cash_basis_report","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Akretion,Vauxoo,Odoo Community Association (OCA)","Account Move Number Sequence","account_move_name_sequence","https://github.com/OCA/account-financial-tools","Instalado","16.0.1.1.12"
"Agile Business Group, Aurium Technologies, Vauxoo, ForgeFlow, Akretion, Odoo Community Association (OCA)","Account Move Template","account_move_template","https://github.com/OCA/account-financial-tools","Instalado","16.0.1.0.3"
"Escodoo","Account Move Visible Date Maturity","account_move_visible_date_maturity","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Odoo S.A.","Payment - Account","account_payment","","Instalado","16.0.2.0"
"Akretion,Odoo Community Association (OCA)","Account Payment Mode","account_payment_mode","https://github.com/OCA/bank-payment","Instalado","16.0.2.0.0"
"ACSONE SA/NV, Therp BV, Tecnativa, Akretion, Odoo Community Association (OCA)","Account Payment Order","account_payment_order","https://github.com/OCA/bank-payment","Instalado","16.0.1.14.0"
"Akretion, Tecnativa, Odoo Community Association (OCA)","Account Payment Partner","account_payment_partner","https://github.com/OCA/bank-payment","Instalado","16.0.1.2.9"
"Akretion, Tecnativa, Odoo Community Association (OCA)","Account Payment Purchase","account_payment_purchase","https://github.com/OCA/bank-payment","Instalado","16.0.2.0.6"
"Akretion, Tecnativa, Odoo Community Association (OCA)","Account Payment Purchase Stock","account_payment_purchase_stock","https://github.com/OCA/bank-payment","Instalado","16.0.1.0.1"
"Akretion, Tecnativa, Odoo Community Association (OCA)","Account Payment Sale","account_payment_sale","https://github.com/OCA/bank-payment","Instalado","16.0.1.0.7"
"Odoo S.A.","account_qr_code_sepa","account_qr_code_sepa","","Instalado","16.0.0.1"
"CreuBlanca,Dixmit,Odoo Community Association (OCA)","account_reconciliation_widget","account_reconcile_oca","https://github.com/OCA/account-reconcile","Instalado","16.0.2.5.1"
"Akretion,Odoo Community Association (OCA)","Account Bank Statement Reopen Skip Undo Reconciliation","account_statement_base","https://github.com/OCA/account-reconcile","Instalado","16.0.1.15.0"
"Akretion, Odoo Community Association (OCA)","Base module for Bank Statement Import","account_statement_import_base","https://github.com/OCA/bank-statement-import","Instalado","16.0.1.0.1"
"Odoo SA, Akretion, Odoo Community Association (OCA)","Import Statement Files","account_statement_import_file","https://github.com/OCA/bank-statement-import","Instalado","16.0.1.1.3"
"Akretion, Odoo Community Association (OCA)","Import Statement Files and Go Direct to Reconciliation","account_statement_import_file_reconcile_oca","https://github.com/OCA/bank-statement-import","Instalado","16.0.1.0.0"
"Odoo SA,Akretion,La Louve,GRAP,Nicolas JEUDY,Le Filament,Odoo Community Association (OCA)","Import OFX Bank Statement","account_statement_import_ofx","https://github.com/OCA/bank-statement-import","Instalado","16.0.1.0.0"
"Escodoo,Odoo Community Association (OCA)","Import OFX Bank Statement by ACCTID","account_statement_import_ofx_by_acctid","https://github.com/OCA/bank-statement-import","Instalado","16.0.1.0.0"
"GRAP, Akretion, Odoo Community Association (OCA)","Account - Missing Menus & Saxon Accounting","account_usability","https://github.com/OCA/account-financial-tools","Instalado","16.0.1.1.1"
